,id,tipCount,likes,rating
0,5710dcf0498e87c71d20b69d,3,14,8.0
1,505d49ede4b0236a27575f1b,33,91,8.9
7,536eae04498ed93756543fb5,2,11,6.2
17,4b5a68abf964a52040c328e3,9,33,7.6
18,43655e80f964a5206d291fe3,58,116,8.9
19,45bba5e7f964a520f6411fe3,42,82,8.6
20,4b7c5229f964a5202f8c2fe3,10,16,7.4
22,58f94052d7627e28e6e92073,6,7,8.8
26,4a96fa5ff964a520cd2720e3,28,71,9.2
30,5aa2b12d5c68386166696a25,35,0,5.4
31,4a6b96cbf964a52041cf1fe3,17,0,7.3
34,4bf58ddf493c2d7f57da4785,5,5,7.3
35,4e92128102d5dcbe60036479,21,98,9.0
47,4bdb56063904a59395e1499e,7,2,5.6
55,509c01ece4b09cc7b56dbc5b,16,59,8.2
56,4aa3fa44f964a520a84420e3,84,172,9.1
58,4b51fd69f964a520b45f27e3,50,44,8.9
60,4b590b55f964a520e87928e3,20,14,7.2
65,52169d1a11d25334c755305a,5,3,6.3
67,4c195d7498f4a593be0000f6,11,14,7.4
68,4c2113bc7e85c92802f1b921,4,37,7.8
70,4ef3af0e0aaf6577fd234f5a,28,67,8.0
71,4a0627d0f964a520c4721fe3,19,59,8.2
73,4b57d441f964a520044328e3,50,104,8.2
78,5aa99a65e1f0aa1412d324ff,1,7,8.1
93,52c5a70f498e50b8c5eb434c,6,9,7.0
94,4b33afa0f964a520da1c25e3,20,26,8.1
95,4afb1aa2f964a5202d1b22e3,11,17,5.7
97,4f7f8817e4b0ac16a0eb0b22,25,49,7.0
98,4a761079f964a52017e21fe3,71,146,8.1
99,4bbb73e89858d13ac95b33a2,3,3,6.4
101,4bf42b7398ac0f47bfad63a8,5,5,6.0
102,4ae3562ff964a520a19321e3,10,5,6.1
105,41eda300f964a520f71e1fe3,217,776,9.2
107,49d6a68ef964a520f65c1fe3,26,22,6.9
110,5acfc7691499467cf1440b05,4,5,7.7
113,50983e68f31c409be941bbe4,9,18,8.6
114,4baf5a94f964a520c9f93be3,2,7,5.4
118,4a7ec9ebf964a5201bf21fe3,8,39,7.5
119,3fd66200f964a520e1ed1ee3,20,41,8.6
126,4a955e1ff964a520fe2220e3,51,68,7.4
134,4a39a19cf964a520a39f1fe3,27,32,8.3
135,4bc85a960050b7139329ba3b,91,167,8.3
137,4b09de84f964a520f31e23e3,58,151,8.6
138,4aca1c81f964a5206cc020e3,12,75,7.4
142,4db18a33fc60cfe27fbb539f,9,20,8.0
143,4ad4c86ff964a520bbfb20e3,101,206,7.7
147,46bc4377f964a520d7491fe3,14,29,7.1
148,4f3e856f6b742d59d6de5f88,29,71,8.4
149,4a333c5ff964a5201d9b1fe3,40,125,8.5
